# freq 	 sqrt(Sn)
9.290941e+00	8.907424e-25
9.312366e+00	8.852622e-25
9.333840e+00	8.798259e-25
9.355364e+00	8.744322e-25
9.376938e+00	8.690798e-25
9.398561e+00	8.637674e-25
9.420234e+00	8.584940e-25
9.441957e+00	8.532583e-25
9.463731e+00	8.480593e-25
9.485554e+00	8.428960e-25
9.507428e+00	8.377673e-25
9.529352e+00	8.326724e-25
9.551327e+00	8.276102e-25
9.573352e+00	8.225800e-25
9.595428e+00	8.175810e-25
9.617555e+00	8.126123e-25
9.639734e+00	8.076732e-25
9.661963e+00	8.027630e-25
9.684243e+00	7.978810e-25
9.706575e+00	7.930266e-25
9.728959e+00	7.881991e-25
9.751394e+00	7.833981e-25
9.773881e+00	7.786230e-25
9.796419e+00	7.738732e-25
9.819010e+00	7.691483e-25
9.841653e+00	7.644478e-25
9.864348e+00	7.597713e-25
9.887095e+00	7.551185e-25
9.909895e+00	7.504889e-25
9.932747e+00	7.458822e-25
9.955652e+00	7.412981e-25
9.978610e+00	7.367363e-25
1.000162e+01	7.321966e-25
1.002468e+01	7.276789e-25
1.004780e+01	7.231831e-25
1.007097e+01	7.187089e-25
1.009419e+01	7.142563e-25
1.011747e+01	7.098249e-25
1.014080e+01	7.054146e-25
1.016419e+01	7.010253e-25
1.018763e+01	6.966568e-25
1.021112e+01	6.923090e-25
1.023467e+01	6.879818e-25
1.025827e+01	6.836752e-25
1.028192e+01	6.793890e-25
1.030563e+01	6.751233e-25
1.032940e+01	6.708780e-25
1.035322e+01	6.666530e-25
1.037709e+01	6.624485e-25
1.040102e+01	6.582643e-25
1.042501e+01	6.541006e-25
1.044905e+01	6.499573e-25
1.047314e+01	6.458345e-25
1.049729e+01	6.417323e-25
1.052150e+01	6.376507e-25
1.054576e+01	6.335897e-25
1.057008e+01	6.295496e-25
1.059446e+01	6.255303e-25
1.061889e+01	6.215320e-25
1.064338e+01	6.175547e-25
1.066792e+01	6.135986e-25
1.069252e+01	6.096638e-25
1.071718e+01	6.057504e-25
1.074189e+01	6.018585e-25
1.076666e+01	5.979883e-25
1.079149e+01	5.941399e-25
1.081637e+01	5.903133e-25
1.084132e+01	5.865088e-25
1.086632e+01	5.827265e-25
1.089138e+01	5.789665e-25
1.091649e+01	5.752290e-25
1.094166e+01	5.715140e-25
1.096690e+01	5.678218e-25
1.099218e+01	5.641524e-25
